clip_id,action
video65_0005.webm,out
video65_0006.webm,idle
video65_0007.webm,raid
video65_0008.webm,tackle
video65_0009.webm,bonus
video65_0010.webm,out
video65_0011.webm,idle
video65_0012.webm,raid
video65_0013.webm,tackle
video65_0014.webm,bonus
video65_0015.webm,out
video65_0016.webm,idle
video65_0017.webm,raid
video65_0018.webm,tackle
video65_0019.webm,bonus
video65_0020.webm,out
video65_0021.webm,idle
video65_0022.webm,raid
video65_0023.webm,tackle
video65_0024.webm,bonus
video65_0025.webm,out
video65_0026.webm,idle
video65_0027.webm,raid
video65_0028.webm,tackle
video65_0029.webm,bonus
video65_0030.webm,out
video65_0031.webm,idle
video65_0032.webm,raid
video65_0033.webm,tackle
video65_0034.webm,bonus
video65_0035.webm,out
video65_0036.webm,idle
video65_0037.webm,raid
video65_0038.webm,tackle
video65_0039.webm,bonus
video65_0040.webm,out
video65_0041.webm,idle
video65_0042.webm,raid
video65_0043.webm,tackle
video65_0044.webm,bonus
video65_0045.webm,out
video65_0046.webm,idle
video65_0047.webm,raid
video65_0048.webm,tackle
video65_0049.webm,bonus
video65_0050.webm,out
video65_0051.webm,idle
video65_0052.webm,raid
video65_0053.webm,tackle
video65_0054.webm,bonus
video65_0055.webm,out
video65_0056.webm,idle
video65_0057.webm,raid
video65_0058.webm,tackle
video65_0059.webm,bonus
video65_0060.webm,out
video65_0061.webm,idle
video65_0062.webm,raid
video65_0063.webm,tackle
video65_0064.webm,bonus
video65_0065.webm,out
video65_0066.webm,idle
video65_0067.webm,raid
video65_0068.webm,tackle
video65_0069.webm,bonus
video65_0070.webm,out
video66_0000.webm,idle
video66_0001.webm,raid
video66_0002.webm,tackle
video66_0003.webm,bonus
video66_0004.webm,out
video66_0005.webm,idle
video66_0006.webm,raid
video66_0007.webm,tackle
video66_0008.webm,bonus
video66_0009.webm,out
video66_0010.webm,idle
video66_0011.webm,raid
video66_0012.webm,tackle
video66_0013.webm,bonus
video66_0014.webm,out
video66_0015.webm,idle
video66_0016.webm,raid
video66_0017.webm,tackle
video66_0018.webm,bonus
video66_0019.webm,out
video66_0020.webm,idle
video66_0021.webm,raid
video66_0022.webm,tackle
video66_0023.webm,bonus
video66_0024.webm,out
video66_0025.webm,idle
video66_0026.webm,raid
video66_0027.webm,tackle
video66_0028.webm,bonus
video66_0029.webm,out
video66_0030.webm,idle
video66_0031.webm,raid
video66_0032.webm,tackle
video66_0033.webm,bonus
video66_0034.webm,out
video66_0035.webm,idle
video66_0036.webm,raid
video66_0037.webm,tackle
video66_0038.webm,bonus
video66_0039.webm,out
video66_0040.webm,idle
video66_0041.webm,raid
video66_0042.webm,tackle
video66_0043.webm,bonus
video66_0044.webm,out
video66_0045.webm,idle
video66_0046.webm,raid
video66_0047.webm,tackle
video66_0048.webm,bonus
video66_0049.webm,out
video66_0050.webm,idle
video66_0051.webm,raid
video66_0052.webm,tackle
video66_0053.webm,bonus
video66_0054.webm,out
video66_0055.webm,idle
video66_0056.webm,raid
video66_0057.webm,tackle
video66_0058.webm,bonus
video66_0059.webm,out
video66_0060.webm,idle
video66_0061.webm,raid
video66_0062.webm,tackle
video66_0063.webm,bonus
video66_0064.webm,out
video66_0065.webm,idle
video66_0066.webm,raid
video66_0067.webm,tackle
video66_0068.webm,bonus
video66_0069.webm,out
video66_0070.webm,idle
video66_0071.webm,raid
video67_0000.webm,tackle
video67_0001.webm,bonus
video67_0002.webm,out
video67_0003.webm,idle
video67_0004.webm,raid
video67_0005.webm,tackle
video67_0006.webm,bonus
video67_0007.webm,out
video67_0008.webm,idle
video67_0009.webm,raid
video67_0010.webm,tackle
video67_0011.webm,bonus
video67_0012.webm,out
video67_0013.webm,idle
video67_0014.webm,raid
video67_0015.webm,tackle
video67_0016.webm,bonus
video67_0017.webm,out
video67_0018.webm,idle
video67_0019.webm,raid
video67_0020.webm,tackle
video67_0021.webm,bonus
video67_0022.webm,out
video67_0023.webm,idle
video67_0024.webm,raid
video67_0025.webm,tackle
video67_0026.webm,bonus
video67_0027.webm,out
video67_0028.webm,idle
video67_0029.webm,raid
video67_0030.webm,tackle
video67_0031.webm,bonus
video67_0032.webm,out
video67_0033.webm,idle
video67_0034.webm,raid
video67_0035.webm,tackle
video67_0036.webm,bonus
video67_0037.webm,out
video67_0038.webm,idle
video67_0039.webm,raid
video67_0040.webm,tackle
video67_0041.webm,bonus
video67_0042.webm,out
video67_0043.webm,idle
video67_0044.webm,raid
video67_0045.webm,tackle
video67_0046.webm,bonus
video67_0047.webm,out
video67_0048.webm,idle
video67_0049.webm,raid
video67_0050.webm,tackle
video67_0051.webm,bonus
video67_0052.webm,out
video67_0053.webm,idle
video67_0054.webm,raid
video67_0055.webm,tackle
video67_0056.webm,bonus
video67_0057.webm,out
video67_0058.webm,idle
video67_0059.webm,raid
video67_0060.webm,tackle
video67_0061.webm,bonus
video67_0062.webm,out
video67_0063.webm,idle
video68_0000.webm,raid
video68_0001.webm,tackle
video68_0002.webm,bonus
video68_0003.webm,out
video68_0004.webm,idle
video68_0005.webm,raid
video68_0006.webm,tackle
video68_0007.webm,bonus
video68_0008.webm,out
video68_0009.webm,idle
video68_0010.webm,raid
video68_0011.webm,tackle
video68_0012.webm,bonus
video68_0013.webm,out
video68_0014.webm,idle
video68_0015.webm,raid
video68_0016.webm,tackle
video68_0017.webm,bonus
video68_0018.webm,out
video68_0019.webm,idle
video68_0020.webm,raid
video68_0021.webm,tackle
video68_0022.webm,bonus
video68_0023.webm,out
video68_0024.webm,idle
video68_0025.webm,raid
video68_0026.webm,tackle
video68_0027.webm,bonus
video68_0028.webm,out
video68_0029.webm,idle
video68_0030.webm,raid
video68_0031.webm,tackle
video68_0032.webm,bonus
video68_0033.webm,out
video68_0034.webm,idle
video68_0035.webm,raid
video68_0036.webm,tackle
video68_0037.webm,bonus
video68_0038.webm,out
video68_0039.webm,idle
video68_0040.webm,raid
video68_0041.webm,tackle
video68_0042.webm,bonus
video68_0043.webm,out
video68_0044.webm,idle
video68_0045.webm,raid
video68_0046.webm,tackle
video68_0047.webm,bonus
video68_0048.webm,out
video68_0049.webm,idle
video68_0050.webm,raid
video68_0051.webm,tackle
video68_0052.webm,bonus
video68_0053.webm,out
video68_0054.webm,idle
video68_0055.webm,raid
video68_0056.webm,tackle
video68_0057.webm,bonus
video68_0058.webm,out
video68_0059.webm,idle
video68_0060.webm,raid
video68_0061.webm,tackle
video68_0062.webm,bonus
video68_0063.webm,out
video68_0064.webm,idle
video68_0065.webm,raid
video68_0066.webm,tackle
video68_0067.webm,bonus
video68_0068.webm,out
video68_0069.webm,idle
video68_0070.webm,raid
video68_0071.webm,tackle
video69_0000.webm,bonus
video69_0001.webm,out
video69_0002.webm,idle
video69_0003.webm,raid
video69_0004.webm,tackle
video69_0005.webm,bonus
video69_0006.webm,out
video69_0007.webm,idle
video69_0008.webm,raid
video69_0009.webm,tackle
video69_0010.webm,bonus
video69_0011.webm,out
video69_0012.webm,idle
video69_0013.webm,raid
video69_0014.webm,tackle
video69_0015.webm,bonus
video69_0016.webm,out
video69_0017.webm,idle
video69_0018.webm,raid
video69_0019.webm,tackle
video69_0020.webm,bonus
video69_0021.webm,out
video69_0022.webm,idle
video69_0023.webm,raid
video69_0024.webm,tackle
video69_0025.webm,bonus
video69_0026.webm,out
video69_0027.webm,idle
video69_0028.webm,raid
video69_0029.webm,tackle
video69_0030.webm,bonus
video69_0031.webm,out
video69_0032.webm,idle
video69_0033.webm,raid
video69_0034.webm,tackle
video69_0035.webm,bonus
video69_0036.webm,out
video69_0037.webm,idle
video69_0038.webm,raid
video69_0039.webm,tackle
video69_0040.webm,bonus
video69_0041.webm,out
video69_0042.webm,idle
video69_0043.webm,raid
video69_0044.webm,tackle
video70_0000.webm,bonus
video70_0001.webm,out
video70_0002.webm,idle
video70_0003.webm,raid
video70_0004.webm,tackle
video70_0005.webm,bonus
video70_0006.webm,out
video70_0007.webm,idle
video70_0008.webm,raid
video70_0009.webm,tackle
video70_0010.webm,bonus
video70_0011.webm,out
video70_0012.webm,idle
video70_0013.webm,raid
video70_0014.webm,tackle
video70_0015.webm,bonus
video70_0016.webm,out
video70_0017.webm,idle
video70_0018.webm,raid
video70_0019.webm,tackle
video70_0020.webm,bonus
video70_0021.webm,out
video70_0022.webm,idle
video70_0023.webm,raid
video70_0024.webm,tackle
video70_0025.webm,bonus
video70_0026.webm,out
video70_0027.webm,idle
video70_0028.webm,raid
video70_0029.webm,tackle
video70_0030.webm,bonus
video70_0031.webm,out
video70_0032.webm,idle
video70_0033.webm,raid
video70_0034.webm,tackle
video70_0035.webm,bonus
video70_0036.webm,out
video70_0037.webm,idle
video70_0038.webm,raid
video70_0039.webm,tackle
video70_0040.webm,bonus
video70_0041.webm,out
video70_0042.webm,idle
video70_0043.webm,raid
video70_0044.webm,tackle
video70_0045.webm,bonus
video70_0046.webm,out
video70_0047.webm,idle
video70_0048.webm,raid
video70_0049.webm,tackle
video70_0050.webm,bonus
video70_0051.webm,out
video70_0052.webm,idle
video70_0053.webm,raid
video70_0054.webm,tackle
video70_0055.webm,bonus
video70_0056.webm,out
video70_0057.webm,idle
video70_0058.webm,raid
video70_0059.webm,tackle
video70_0060.webm,bonus
video70_0061.webm,out
video70_0062.webm,idle
video70_0063.webm,raid
video70_0064.webm,tackle
video70_0065.webm,bonus
video70_0066.webm,out
video70_0067.webm,idle
video70_0068.webm,raid
video70_0069.webm,tackle
video70_0070.webm,bonus
video70_0071.webm,out
